time	V(tri)
5.79013e-02	4.99872e+00
5.80259e-02	4.87180e-02
5.81482e-02	4.99709e+00
5.82724e-02	3.29965e-02
5.83951e-02	4.99752e+00
5.85193e-02	3.20204e-02
5.86420e-02	4.99793e+00
5.87661e-02	2.54587e-02
5.88891e-02	4.99280e+00
5.90130e-02	2.80548e-02
5.91360e-02	4.99397e+00
5.92594e-02	4.72500e-03
5.93831e-02	4.98570e+00
5.95073e-02	4.58798e-02
5.96308e-02	4.95281e+00
5.97533e-02	8.60524e-03
5.98778e-02	4.95088e+00
6.00000e-02	7.86837e-12
